method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
t-SNE,perplexity,100,0.9774177630655031,0.9817681131507674,0.43772096759706625,0.1701684296131134,0.39236764093483684,10.391345977783203
Density t-SNE,lambda_density,0.001,0.9607170147457117,0.9669127414986458,0.8730489973499576,0.04232639819383621,0.5297087920515827,41.98900604248047
UMAP,n_neighbors,5,0.967396320593841,0.9790447627645702,0.2619755632329291,0.17932894825935364,0.7823785745978135,4.233978033065796
densne,perplexity,100,0.979129465342562,0.9823859925769887,0.4400334390400656,0.1715609251309427,0.3998613744352745,19.387660026550293
