dataset,method,seed,param1_name,param1_value,param2_name,param2_value,AUROC_kNN,AUROC_LOF,AUROC_IF,AUROC_centroid,AUROC_linear,AUPRC_kNN,AUPRC_LOF,AUPRC_IF,AUPRC_centroid,AUPRC_linear
cifar,HIGH-D,0,,,,,0.6081575203025508,0.5786907269539115,0.5946506586719569,0.6018926138094495,0.9902141891239254,0.12591099931240118,0.11541981264762449,0.12083387131148497,0.12399262388603596,0.9344474922089493
cifar,HIGH-D,1,,,,,0.6081575203025508,0.5786907269539115,0.5946506586719569,0.6018926138094495,0.9902141891239254,0.12591099931240118,0.11541981264762449,0.12083387131148497,0.12399262388603596,0.9344474922089493
cifar,HIGH-D,2,,,,,0.6081575203025508,0.5786907269539115,0.5946506586719569,0.6018926138094495,0.9902141891239254,0.12591099931240118,0.11541981264762449,0.12083387131148497,0.12399262388603596,0.9344474922089493
cifar,HIGH-D,3,,,,,0.6081575203025508,0.5786907269539115,0.5946506586719569,0.6018926138094495,0.9902141891239254,0.12591099931240118,0.11541981264762449,0.12083387131148497,0.12399262388603596,0.9344474922089493
cifar,HIGH-D,4,,,,,0.6081575203025508,0.5786907269539115,0.5946506586719569,0.6018926138094495,0.9902141891239254,0.12591099931240118,0.11541981264762449,0.12083387131148497,0.12399262388603596,0.9344474922089493
cifar,DR-SNE,0,lambda,0.0,k_density,40.0,0.5887967255867864,0.5316906935187868,0.6235121369502709,0.5954447428838909,0.6436897703378432,0.13189894164440938,0.10901174274936183,0.13510148160587465,0.14133387777924308,0.1590348256125054
cifar,DR-SNE,0,lambda,0.0,k_density,80.0,0.5843391733351165,0.5481635293374644,0.6391632581414528,0.5997555520882092,0.6462248029185149,0.12651678765514393,0.11304885726007223,0.13466563100424925,0.13925636495317995,0.16059144095857342
cifar,DR-SNE,0,lambda,0.0,k_density,300.0,0.589673933233771,0.5559982613735149,0.6453838166566361,0.6133014213643017,0.647753531120671,0.13005401010998802,0.1174533178200385,0.13565396391591622,0.13951692750808548,0.1627254140861908
cifar,DR-SNE,0,lambda,5e-05,k_density,40.0,0.5981028352985756,0.5381787330316742,0.6465867845812066,0.6101594483947425,0.6832695279703394,0.12878569177607058,0.12840957124964797,0.13739660214629446,0.14228024146588794,0.1907660540276668
cifar,DR-SNE,0,lambda,5e-05,k_density,80.0,0.5853389764393822,0.5459428798044417,0.6356811292156118,0.6019488033940368,0.6703236334321526,0.12653528383984458,0.12197218713038951,0.13288929638962227,0.1279402769081351,0.17638731086102472
