method,trustworthiness,continuity,density_corr,time_sec
t-SNE,0.9847484899517234,0.980756169305041,0.5429975830198147,2.4773871898651123
Density t-SNE,0.9603200179633996,0.9683966767710789,0.9334799003863614,11.109163999557495
UMAP,0.9713863253620748,0.9790241383181767,0.3949775050909238,6.234977960586548
DensMAP,0.9573728977208937,0.9734884921971483,0.7967314593141077,4.882664918899536
