lambda,trustworthiness,continuity,density_corr,time_sec
0,0.9850694060851016,0.9771844167508701,0.5810463568679421,10.015057802200317
1.0,0.7717244414505445,0.876743280565847,0.9999471699441285,10.481597900390625
0.5,0.8011108566296172,0.9139175929044572,0.999749461726773,10.950772047042847
0.1,0.8854139440889188,0.9486675648366454,0.9963958809243777,11.008126020431519
0.05,0.9088892780958796,0.9545631974851241,0.9888105694689371,10.291915893554688
0.01,0.9602937914000225,0.9683982934770405,0.9334762772618895,10.327546834945679
0.005,0.9722577747838779,0.9731287302121927,0.8799145702896193,11.095072031021118
0.001,0.9827489839452116,0.9784941731222634,0.7225134324065351,10.734046936035156
