method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
DR-SNE,lambda_density,0.01,0.8584982374812884,0.8939434890282348,0.974042042076923,0.34090423583984375,1.0987687,24.884793758392334
DenSNE,dens_lambda,3.0,0.8625303974117533,0.928017107813718,0.9040400409831947,0.5163509411109815,1.0801190940454384,9.703038930892944
t-SNE,perplexity,100,0.8808654346281465,0.9371377799852376,0.16094038601107366,0.5426514744758606,0.51887983,20.083945989608765
PaCMAP,n_neighbors,10,0.8571920283106724,0.9227005097852555,0.2688369358408257,0.6346699595451355,0.4926409,0.5531570911407471
UMAP,n_neighbors,10,0.8578524864965543,0.9224423887474735,0.02322666733211395,0.612186074256897,0.61574763,5.655699968338013
DensMAP,dens_lambda,1.0,0.8521833571325097,0.9261639176893415,0.8283011293761172,0.5767720341682434,0.5774184,8.371217966079712
