method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
DR-SNE,lambda_density,0.001,0.9476602066405858,0.9096230996087873,0.9477770483796532,0.40825575590133667,6.00311283792886,85.46983480453491
DenSNE,dens_lambda,3.0,0.9295932270037115,0.9459007683819841,0.9191958068680328,0.6133731244962305,2.198093947929957,13.90506887435913
t-SNE,perplexity,100,0.9392677339753235,0.9577457718928679,0.0964880912043822,0.8865684866905212,1.987116888764921,35.23659920692444
PaCMAP,n_neighbors,30,0.9197155140936905,0.9535296218276658,0.10109253571497938,0.9284933805465698,1.1277332227583234,2.0755228996276855
UMAP,n_neighbors,10,0.9213757167218377,0.9508527635670578,0.049937423323781836,0.918347954750061,0.47544194140191176,4.335777759552002
DensMAP,dens_lambda,8.0,0.892582517805196,0.9246027886447988,0.9846220246579829,0.8696843981742859,0.7073033083794689,8.942462921142578
