method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
DR-SNE,lambda_density,0.001,0.9816768553195669,0.9738827193668432,0.762937921065441,0.37510204315185547,3.253826785403984,11.363373041152954
DenSNE,dens_lambda,3.0,0.9591878815083174,0.9600577317951724,0.8482999092796926,0.24539538345802028,3.0930700797299324,4.746645927429199
t-SNE,perplexity,100,0.9809718414590319,0.9782800441875324,0.5961930770634299,0.4181812107563019,1.6957067708220002,10.590744018554688
PaCMAP,n_neighbors,50,0.9583964042731274,0.9750773695704835,0.5139300993676427,0.46269491314888,0.7987020035894465,1.2013750076293945
UMAP,n_neighbors,5,0.9769926832555772,0.9763189998736472,0.5324472471777867,0.5790957808494568,0.5906033352095003,2.3426458835601807
DensMAP,dens_lambda,2.0,0.9592413276188789,0.9733826187063573,0.8233760237949908,0.5199093222618103,0.5923263578070829,4.3509581089019775
