method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
DR-SNE,lambda_density,0.001,0.9422962945129902,0.8990332992276056,0.945317905227169,0.3565821647644043,5.778398599638599,85.02333617210388
DenSNE,dens_lambda,1.0,0.928980523623232,0.9519545270338048,0.9172835969701666,0.7861548235494502,1.32219292562136,13.606350183486938
t-SNE,perplexity,100,0.939172334236132,0.9573980258802287,0.09720517634602012,0.8935086727142334,2.1674848826474187,33.181228160858154
PaCMAP,n_neighbors,50,0.9205551048249574,0.9536122419500451,0.1050779883456899,0.9331825375556946,1.1474384735608045,3.188732147216797
UMAP,n_neighbors,10,0.9213524084662453,0.9509214645400742,0.033355679246140295,0.9257902503013611,0.5509948558645253,4.275946855545044
DensMAP,dens_lambda,8.0,0.8924914755742802,0.9247617373858963,0.9849254095346934,0.8633798956871033,0.7458135452949821,8.894153833389282
