method,param,tweaked_parameter,auroc,auprc
kNN,30,n_neighbors,0.8959345265819416,0.19380884716665542
IsolationForest,-,default,0.842770643422716,0.12627050743814885
t-SNE,5,perplexity,0.9021225630447801,0.4187597383618855
t-SNE,10,perplexity,0.9219508949364561,0.3016627439037537
t-SNE,20,perplexity,0.8683212455918556,0.1472734733913463
t-SNE,30,perplexity,0.8403087364428772,0.12267719653618551
t-SNE,50,perplexity,0.8857542085301751,0.20580118878572998
t-SNE,75,perplexity,0.8530840375274469,0.15570756471194303
t-SNE,100,perplexity,0.8675227892740701,0.22803157777850658
UMAP,5,n_neighbors,0.8479606094883225,0.24118299373832772
UMAP,10,n_neighbors,0.9158293965000999,0.2110327773887936
UMAP,15,n_neighbors,0.887750349324639,0.12679218510972076
UMAP,30,n_neighbors,0.32909707898063745,0.03782287781365309
UMAP,50,n_neighbors,0.28112316188701847,0.023107347908342735
UMAP,100,n_neighbors,0.33022822543083374,0.08458158840445343
PaCMAP,5,n_neighbors,0.9093086699048506,0.2911691959498109
PaCMAP,10,n_neighbors,0.9254108723135271,0.2755273475170173
PaCMAP,15,n_neighbors,0.9157628584736176,0.18329230093861687
PaCMAP,30,n_neighbors,0.8625989753143922,0.09301654293951274
PaCMAP,50,n_neighbors,0.8068401091223635,0.06979068635692497
DensMAP,0.25,dens_lambda,0.9099075121431898,0.20261247428580703
DensMAP,0.5,dens_lambda,0.9095082839842971,0.2142715900242372
DensMAP,1.0,dens_lambda,0.9093086699048505,0.23083573203720667
DensMAP,2.0,dens_lambda,0.9123694191230288,0.24243383803607374
DensMAP,4.0,dens_lambda,0.9097744360902256,0.25716483751311947
DensMAP,8.0,dens_lambda,0.9087098276665113,0.34590600653031867
Density t-SNE,0.00025,lambda_density,0.9469026548672566,0.3746731252933954
Density t-SNE,0.0005,lambda_density,0.9302016102202408,0.4117517316757394
Density t-SNE,0.001,lambda_density,0.9061148446337082,0.4498418320781098
Density t-SNE,0.002,lambda_density,0.8579413134606428,0.22298172604008762
Density t-SNE,0.004,lambda_density,0.8301284183911104,0.24760742548246137
Density t-SNE,0.008,lambda_density,0.7874775434160622,0.1119928193600091
Density t-SNE,0.016,lambda_density,0.8675893273005523,0.2968893575833852
Density t-SNE,0.032,lambda_density,0.7110918890145718,0.041503921563105464
Density t-SNE,0.064,lambda_density,0.8534832656863397,0.15172448782460504
Density t-SNE,0.128,lambda_density,0.7717745691662785,0.12855744071804528
