method,param,tweaked_parameter,auroc,auprc
kNN,30,n_neighbors,0.9141299790356394,0.3232818249701569
IsolationForest,-,default,0.8666666666666667,0.216425633415473
t-SNE,5,perplexity,0.9522851153039833,0.36592494756941596
t-SNE,10,perplexity,0.9272117400419289,0.4653157729945218
t-SNE,20,perplexity,0.9249475890985326,0.30862135715239103
t-SNE,30,perplexity,0.9280503144654089,0.28311978213263367
t-SNE,50,perplexity,0.9315723270440252,0.24156223937719354
t-SNE,75,perplexity,0.9371069182389937,0.3008941566970295
t-SNE,100,perplexity,0.939538784067086,0.3060348815330719
UMAP,5,n_neighbors,0.9714884696016772,0.36343154005768463
UMAP,10,n_neighbors,0.9728301886792453,0.29339758674593575
UMAP,15,n_neighbors,0.9491823899371069,0.16920887990739278
UMAP,30,n_neighbors,0.37836477987421385,0.09972355491160391
UMAP,50,n_neighbors,0.37735849056603776,0.09582032446677179
UMAP,100,n_neighbors,0.4288469601677149,0.2800247067612934
PaCMAP,5,n_neighbors,0.9590775681341719,0.43074067998734944
PaCMAP,10,n_neighbors,0.9526205450733753,0.20951218352249362
PaCMAP,15,n_neighbors,0.9567295597484277,0.25967234008330925
PaCMAP,30,n_neighbors,0.8838574423480084,0.1668473480147744
PaCMAP,50,n_neighbors,0.880167714884696,0.10712806505556623
DensMAP,0.25,dens_lambda,0.9750943396226415,0.28555604087938297
DensMAP,0.5,dens_lambda,0.9826415094339622,0.3343767078461868
DensMAP,1.0,dens_lambda,0.9810482180293502,0.465968014438779
DensMAP,2.0,dens_lambda,0.9714046121593292,0.4590442418729548
DensMAP,4.0,dens_lambda,0.97979035639413,0.3575428620661886
DensMAP,8.0,dens_lambda,0.9809643605870021,0.43800850511411443
Density t-SNE,0.00025,lambda_density,0.9552201257861637,0.44962864151851223
Density t-SNE,0.0005,lambda_density,0.9356813417190776,0.3566615251997262
Density t-SNE,0.001,lambda_density,0.9053249475890985,0.2383826409163839
Density t-SNE,0.002,lambda_density,0.8062054507337526,0.1806809004057688
Density t-SNE,0.004,lambda_density,0.7776100628930818,0.1720880803706512
Density t-SNE,0.008,lambda_density,0.7605031446540881,0.16693097999984624
Density t-SNE,0.016,lambda_density,0.5433123689727464,0.2185711358780742
Density t-SNE,0.032,lambda_density,0.37937106918238994,0.21876374168497592
Density t-SNE,0.064,lambda_density,0.6908176100628931,0.2667861756525204
Density t-SNE,0.128,lambda_density,0.5389517819706499,0.21902411087868925
