lambda,trustworthiness,density_corr
0.0,0.8877102858862473,0.7419986387253231
0.001,0.8797874009429231,0.9212422588194048
0.005,0.8473541097401946,0.9716503744462466
0.01,0.8178365131908918,0.9842216702452724
0.05,0.7476775604373558,0.9971957762293714
0.1,0.7253440987059885,0.9989953048613324
