lambda,trustworthiness,density_corr
0.0,0.9449131668171331,0.3272638996998311
0.001,0.9469441749423212,0.8445847915998355
0.005,0.921807824255191,0.9514638875687076
0.01,0.8948459464339452,0.9741699855324597
0.05,0.8123472243956265,0.995548183950242
0.1,0.7730669956866285,0.9983283502488152
