lambda,trustworthiness,density_corr
0.0,0.97349632054297,0.5245764190634989
0.001,0.9784878624070336,0.7414703744365618
0.005,0.9699512909453512,0.8689878885873893
0.01,0.9636126009748058,0.9221474615458353
0.05,0.9258784599211178,0.9804716836374804
0.1,0.8862139178232471,0.991652510503023
