lambda,trustworthiness,density_corr
0.0,0.9995147316681713,-0.15809380861654737
0.001,0.9994293028388003,0.9951612022558654
0.005,0.9986961741398335,0.9992108794902368
0.01,0.999382782626141,0.9996716105846511
0.05,0.9981791874811917,0.9998791948253527
0.1,0.9965628648811315,0.9999376253589068
