lambda,trustworthiness,density_corr
0.0,0.9080425211950636,0.5115989427980264
0.001,0.922182018859985,0.7589442005686697
0.005,0.9053838013838014,0.9212469162720907
0.01,0.8905950621882825,0.9599179476346545
0.05,0.8313046363554838,0.9925972277214052
0.1,0.8012699654394569,0.9974349569148421
