method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,selected_by,best_params
DR-SNE,0.4521062446974481,0.0793229232204704,0.2794726889081541,0.0598299091636193,0.4283237340311016,0.0792868765228577,0.4457243100708881,0.0558189849063219,0.3799746299813252,0.0896261935035746,AUPRC_IF,"lambda=1.0, k_density=40.0"
DenSNE,0.4341390615078648,0.0222092450899373,0.1718016494538586,0.0123515433988599,0.716749780908517,0.0431022673086273,0.6924660939293725,0.0283340943606651,0.4573321130038655,0.2639126260857384,AUPRC_IF,"perplexity=75.0, dens_lambda=0.2"
DensMAP,0.7170067247566381,0.0035992200985925,0.1677549732318217,0.0110123970374868,0.7956968225596299,0.0298727907275258,0.7383826935335545,0.0337206923702,0.6649796024497612,0.1093675517671036,AUPRC_IF,"dens_lambda=0.5, dens_frac=0.5"
HIGH-D,0.4403210238540448,0.0,0.0949774528753401,0.0,0.665198709188344,0.0,0.6918389775430024,0.0,0.994453083743374,0.0,AUPRC_IF,
PaCMAP,0.1283598586426015,0.0020624826914634,0.1933483113256711,0.0092094395968843,0.7074107826431483,0.0083409110788889,0.528985746411421,0.0039585445819025,0.5747444206390977,0.0138646248800728,AUPRC_IF,"n_neighbors=80.0, FP_ratio=1.0"
TriMap,0.1457816938346992,0.0064345602065737,0.1225241614869235,0.0033969916668427,0.1965061003786574,0.0096502802089178,0.0693455875866682,0.0003832394226858,0.4086883970766601,0.0061662997000612,AUPRC_IF,"n_inliers=120.0, n_outliers=2.0"
UMAP,0.0760434550332902,0.0019627948443151,0.1808333847448215,0.0155055965866443,0.7627504811531799,0.019791817474443,0.655549613786061,0.0493218396231852,0.5721709594036237,0.0389742384593303,AUPRC_IF,"n_neighbors=120.0, min_dist=0.0"
t-SNE,0.1234886857533694,0.0060224022635046,0.1464231107170735,0.0051485921055475,0.6922758360542871,0.0212172334782487,0.7332065142069071,0.0252816432984215,0.5127131409280459,0.0839331003579535,AUPRC_IF,"perplexity=50.0, learning_rate=200.0"
