method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_kNN_best_params,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_LOF_best_params,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_IF_best_params,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_centroid_best_params,AUPRC_linear_mean,AUPRC_linear_std,AUPRC_linear_best_params
DR-SNE,0.5930925194820411,0.0365562127645176,"lambda=0.0002, k_density=80.0",0.4999589145710361,0.0227962895191974,"lambda=0.002, k_density=40.0",0.6315068030305631,0.0375561120940826,"lambda=0.0002, k_density=80.0",0.6475752058928291,0.0735942021082197,"lambda=0.0001, k_density=300.0",0.319785793544585,0.0816006419812464,"lambda=0.1, k_density=80.0"
HIGH-D,0.5432204027200868,0.0,,0.3624467192457579,0.0,,0.2574355173413082,0.0,,0.5507082485916646,0.0,,1.0,0.0,
