method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,selected_by,best_params
DR-SNE,0.246737863188788,0.042207341496511,0.2611857583911995,0.0051755364137174,0.6033117749592577,0.0470537485056134,0.6190030160572365,0.0344713811089412,0.372539791490484,0.0838184968536938,AUPRC_IF,"lambda=0.0005, k_density=300.0"
HIGH-D,0.4184549745783094,0.0,0.2985564777821173,0.0,0.6419212399170329,0.0,0.6093843166462154,0.0,0.9712680765047867,0.0,AUPRC_IF,
