method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,selected_by,best_params
DR-SNE,0.5780221685585387,0.0295360665901595,0.5165331218955724,0.0571382629255932,0.5783586625354238,0.0429405371520965,0.574474815075432,0.0306032573834312,0.5452392979584684,0.0905977078464068,AUPRC_IF,"lambda=1.0, k_density=80.0"
DenSNE,0.6239422217289703,0.0639687932202847,0.4256098596347993,0.1025268818491718,0.6055108507041134,0.0406367832667372,0.5425404232605548,0.089398914260705,0.1900381211771132,0.1041108907301815,AUPRC_IF,"perplexity=5.0, dens_lambda=0.1"
DensMAP,0.5887017388759133,0.0239151307641052,0.5479269019354677,0.0387841370548869,0.5890378571781006,0.0611632230705418,0.5264435246506569,0.0095577993846649,0.461968137392041,0.1123738053853541,AUPRC_IF,"dens_lambda=0.2, dens_frac=0.3"
HIGH-D,0.5432204027200868,0.0,0.3624467192457579,0.0,0.2574355173413082,0.0,0.5507082485916646,0.0,1.0,0.0,AUPRC_IF,
PaCMAP,0.4267160377018378,0.1169577521358253,0.4292658800062893,0.0946173374518724,0.599960522233481,0.0648728242905243,0.3028798841009868,0.1436222805882139,0.3106239809150953,0.1503179262765357,AUPRC_IF,"n_neighbors=5.0, FP_ratio=5.0"
TriMap,0.1559699505529804,0.0361858956454077,0.0453426220187786,0.0162909771397912,0.1402578819517769,0.0211963346756161,0.1120470614422224,0.0294492368473146,0.1228125165041243,0.05248732122315,AUPRC_IF,"n_inliers=120.0, n_outliers=10.0"
UMAP,0.6145512395085823,0.0643170627836049,0.5761473842427515,0.1143275583863861,0.4056152773782105,0.2094934990801249,0.1743659317810144,0.0299081175950913,0.5698230870458891,0.1159947381179956,AUPRC_IF,"n_neighbors=5.0, min_dist=0.1"
t-SNE,0.5983542300233143,0.077699682447342,0.1028346262645653,0.1016588058360084,0.5989251187229434,0.0752396501064681,0.2213903013467198,0.1906869564324962,0.5211327492896972,0.2576354034399241,AUPRC_IF,"perplexity=100.0, learning_rate=500.0"
