method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_kNN_best_params,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_LOF_best_params,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_IF_best_params,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_centroid_best_params,AUPRC_linear_mean,AUPRC_linear_std,AUPRC_linear_best_params
DR-SNE,0.5210991565518632,0.0512561185164234,"lambda=1.0, k_density=300.0",0.3289429598027638,0.0160569024363407,"lambda=1.0, k_density=80.0",0.6033117749592577,0.0470537485056134,"lambda=0.0005, k_density=300.0",0.6190030160572365,0.0344713811089412,"lambda=0.0005, k_density=300.0",0.5470838784802362,0.0947750022317359,"lambda=0.0002, k_density=40.0"
HIGH-D,0.4184549745783094,0.0,,0.2985564777821173,0.0,,0.6419212399170329,0.0,,0.6093843166462154,0.0,,0.9712680765047867,0.0,
