method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_kNN_best_params,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_LOF_best_params,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_IF_best_params,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_centroid_best_params,AUPRC_linear_mean,AUPRC_linear_std,AUPRC_linear_best_params
DR-SNE,0.1314244962396361,0.0220470202548853,"lambda=0.1, k_density=300.0",0.1225672495184828,0.0073990357313304,"lambda=1.0, k_density=300.0",0.0948141330526075,0.018884594070313,"lambda=0.1, k_density=300.0",0.0939212778984202,0.0052709200042913,"lambda=1.0, k_density=300.0",0.1379617865903687,0.0539388743827073,"lambda=0.005, k_density=300.0"
DenSNE,0.1334155727458187,0.0082555330467199,"perplexity=100.0, dens_lambda=0.2",0.1329434522981777,0.0056619818160459,"perplexity=75.0, dens_lambda=1.0",0.0973612339782544,0.0076454159910783,"perplexity=5.0, dens_lambda=0.0",0.0914979360374702,0.0048763665479,"perplexity=5.0, dens_lambda=0.0",0.1442078447509461,0.0504395336750521,"perplexity=15.0, dens_lambda=0.5"
DensMAP,0.1183266544625056,0.0111421259998747,"dens_lambda=2.0, dens_frac=0.5",0.1630141689377768,0.0306469487083144,"dens_lambda=3.0, dens_frac=0.5",0.0791327676623075,0.0040154957821892,"dens_lambda=10.0, dens_frac=0.3",0.0689472779170342,0.0042993289331472,"dens_lambda=10.0, dens_frac=0.5",0.0951951889656133,0.008629677423268,"dens_lambda=2.0, dens_frac=0.5"
HIGH-D,0.122040765429418,0.0,,0.1244843076726147,0.0,,0.0985065154321092,0.0,,0.102875724425105,0.0,,0.9134919726728702,0.0,
PaCMAP,0.1326216240616243,0.0117897599500292,"n_neighbors=8.0, FP_ratio=2.0",0.1074543666948098,0.0068682251562089,"n_neighbors=5.0, FP_ratio=1.0",0.1185918373277873,0.0037794505897931,"n_neighbors=80.0, FP_ratio=1.0",0.0744575716051333,0.0165671535105536,"n_neighbors=5.0, FP_ratio=5.0",0.3887118303414309,0.0015329337797434,"n_neighbors=60.0, FP_ratio=1.0"
TriMap,0.0957264980352023,0.0024473591559213,"n_inliers=120.0, n_outliers=10.0",0.0948372281203275,0.002591265458104,"n_inliers=20.0, n_outliers=5.0",0.0944144426363857,0.0022639128668447,"n_inliers=80.0, n_outliers=10.0",0.090614027408579,0.006101293940605,"n_inliers=15.0, n_outliers=10.0",0.1629473542474137,0.0061709898471452,"n_inliers=120.0, n_outliers=10.0"
UMAP,0.0902270846304662,0.003488687421618,"n_neighbors=15.0, min_dist=0.5",0.1057845209921778,0.0110152655964249,"n_neighbors=8.0, min_dist=0.5",0.0804487494210077,0.0075779542025691,"n_neighbors=40.0, min_dist=0.5",0.0805567525809411,0.0043969269511156,"n_neighbors=40.0, min_dist=0.5",0.240942848227832,0.0962237212133797,"n_neighbors=80.0, min_dist=0.5"
t-SNE,0.1078507186909628,0.0031778661018461,"perplexity=100.0, learning_rate=500.0",0.0987213986329709,0.0115268654691499,"perplexity=5.0, learning_rate=500.0",0.1033196370363334,0.0232857686726285,"perplexity=50.0, learning_rate=50.0",0.0833309476224589,0.0046070828023879,"perplexity=1.0, learning_rate=200.0",0.2843492187277445,0.1382425252170088,"perplexity=50.0, learning_rate=50.0"
