method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_kNN_best_params,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_LOF_best_params,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_IF_best_params,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_centroid_best_params,AUPRC_linear_mean,AUPRC_linear_std,AUPRC_linear_best_params
DR-SNE,0.4771085340411597,0.1071297329549722,"lambda=0.001, k_density=40.0",0.2271838638715301,0.0128443785941198,"lambda=1.0, k_density=40.0",0.6549814963720745,0.0583283677090268,"lambda=0.0001, k_density=40.0",0.6417680611188986,0.0478183754249533,"lambda=5e-05, k_density=40.0",0.4448132486163982,0.1522222232656598,"lambda=0.0005, k_density=80.0"
HIGH-D,0.4403210238540448,0.0,,0.0949774528753401,0.0,,0.665198709188344,0.0,,0.6918389775430024,0.0,,0.994453083743374,0.0,
