method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_kNN_best_params,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_LOF_best_params,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_IF_best_params,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_centroid_best_params,AUPRC_linear_mean,AUPRC_linear_std,AUPRC_linear_best_params
DR-SNE,0.3681883013625997,0.0210135786544036,"lambda=1.0, k_density=80.0",0.2703636182853927,0.0238848593353575,"lambda=1.0, k_density=40.0",0.512551033589015,0.062410114184618,"lambda=0.0002, k_density=40.0",0.4593493159460025,0.0237555264637753,"lambda=0.0001, k_density=40.0",0.4356508854797483,0.0459117305724148,"lambda=0.0001, k_density=40.0"
HIGH-D,0.42306238316439,0.0,,0.1137432867770793,0.0,,0.5374604923573937,0.0,,0.4592219353966756,0.0,,0.9998338125324836,0.0,
