method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_kNN_best_params,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_LOF_best_params,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_IF_best_params,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_centroid_best_params,AUPRC_linear_mean,AUPRC_linear_std,AUPRC_linear_best_params
DR-SNE,0.1426265932084555,0.0261874570891682,"lambda=0.0002, k_density=40.0",0.1163223200535149,0.0193573605773143,"lambda=0.001, k_density=40.0",0.1648153907584407,0.0249728474714255,"lambda=5e-05, k_density=40.0",0.1963440154790354,0.102016944700337,"lambda=0.0002, k_density=40.0",0.420581021390818,0.1708009043255419,"lambda=0.001, k_density=80.0"
HIGH-D,0.1259109993124011,0.0,,0.1154198126476244,0.0,,0.1208338713114849,0.0,,0.1239926238860359,0.0,,0.9344474922089492,0.0,
