method,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,selected_by,best_params
DR-SNE,0.5066937694193714,0.07540929968202,0.2239702242098456,0.0748595633579261,0.3964832767601077,0.0644867059494746,0.3985659507255733,0.0986648468448131,0.4869412592607389,0.245495932576074,AUPRC_IF,"lambda=1.0, k_density=300.0"
DenSNE,0.92066412912284,0.0356432767932243,0.126227066415591,0.0207091661412824,0.297361719570234,0.1634143065339931,0.2015866524434245,0.1376152534473234,0.3289717288075106,0.2602257852928795,AUPRC_IF,"perplexity=100.0, dens_lambda=1.0"
DensMAP,0.172287318435268,0.0358457418949158,0.1849504118685122,0.0184723568080527,0.1072131948454106,0.0247625092358448,0.1019514776689728,0.0242682506019515,0.291179682218315,0.0983938211334766,AUPRC_IF,"dens_lambda=10.0, dens_frac=0.5"
HIGH-D,0.8664095671417129,0.0,0.0872794852508979,0.0,0.8308143334449107,0.0,0.8238558804718912,0.0,0.9999246254609728,0.0,AUPRC_IF,
PaCMAP,0.0698273367390998,0.0003102496239652,0.084272799352809,0.0007858311128124,0.4046416371699548,0.0263014547222651,0.5214841930066779,0.0386135833197557,0.7414093275316519,0.0057910353482161,AUPRC_IF,"n_neighbors=120.0, FP_ratio=5.0"
TriMap,0.3424976302494431,0.0156424223950804,0.1395801154417979,0.0066620762852984,0.3485542393801156,0.0054340816565435,0.0762195025975685,0.0007159947450854,0.1591634348909973,0.0062317147690701,AUPRC_IF,"n_inliers=120.0, n_outliers=10.0"
UMAP,0.0602019568359505,0.0044713573190667,0.0852424875659668,0.0019711834022869,0.0949359373574577,0.018119135059689,0.0778168020769224,0.0117013595978941,0.7355005894715593,0.1044857699574873,AUPRC_IF,"n_neighbors=60.0, min_dist=0.5"
t-SNE,0.0955710636832322,0.0041895217315633,0.0879197698826685,0.0012908623200156,0.122280278574734,0.0453331534607302,0.0730867183251676,0.0177517421586742,0.5246386582696989,0.3314989361833393,AUPRC_IF,"perplexity=50.0, learning_rate=200.0"
