method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
t-SNE,perplexity,100,0.9773149042030294,0.983214593239041,0.41696192488828815,0.19322101771831512,0.39745539831195625,11.057074069976807
Density t-SNE,lambda_density,0.0005,0.9638620282876919,0.9579350065202127,0.7976658793893359,-0.027924153953790665,0.5617222923863356,43.664726972579956
UMAP,n_neighbors,5,0.967599362022269,0.9795219339953857,0.2707317029448572,0.20928113162517548,0.786859524765474,4.43124794960022
DensMAP,dens_lambda,1.0,0.9520381623031398,0.9791527455110843,0.7923451375410386,0.14629767835140228,0.8038896411588162,20.292002201080322
densne,perplexity,100,0.9773119269736182,0.9832109379075132,0.4192317624679835,0.1902522765692446,0.4175179962373583,19.230169773101807
