method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
t-SNE,perplexity,100,0.9396463557026783,0.9574501033202929,0.10295044708359283,0.8854671716690063,1.9851882010628936,10.548373937606812
Density t-SNE,lambda_density,0.004,0.881158752131608,0.7990548219480389,0.9848958309355793,0.1371964067220688,3.456788767966051,44.70307922363281
UMAP,n_neighbors,5,0.9225098284682516,0.943577189286789,0.041224578583788446,0.8929297924041748,0.3614033855405147,3.036942958831787
DensMAP,dens_lambda,8.0,0.890490448390009,0.9232174099709098,0.985204389663826,0.8669171929359436,0.7579898620707773,9.032890796661377
densne,perplexity,100,0.9389902377369846,0.957781562844819,0.10204431446742919,0.8940552462979966,2.1888764970719743,19.2289400100708
