pca,trustworthiness_mean,trustworthiness_std,continuity_mean,continuity_std,density_corr_mean,density_corr_std,silhouette_mean,silhouette_std,stress_mean,stress_std,time_sec_mean,time_sec_std
10,0.9103667556548912,0.008633043315197377,0.9480176366843033,0.004374898446943952,0.9834233463457682,0.0010526937922131214,0.1438517173131307,0.04442765005279473,3.252641,0.19808802,25.005258401234943,0.06488001150275066
20,0.8727480483525681,0.00856757936424016,0.9011077723281113,0.008866520747446309,0.973071992924329,0.0008210333081919597,0.1280315121014913,0.04318167577446255,2.5023448,0.078424774,24.993297576904297,0.24137652384511418
40,0.8193025714607636,0.005765079349676752,0.8628141019892434,0.007140251138351995,0.9683091630747146,0.0011866692668033136,0.06990385800600052,0.01705528767681525,1.8311329,0.027346738,25.009408950805664,0.04743641579030868
60,0.7603278813674293,0.003513710414077902,0.7803567852946385,0.025336539415113157,0.9693926777502128,0.0008181328329902093,0.06001151849826177,0.031509516917779055,1.3488345,0.05310517,24.934175332387287,0.04797635484871112
80,0.716027289722205,0.003097833808593375,0.6709926624954873,0.001445949913284678,0.9765682988562746,0.0006341389788609554,-0.045767477403084435,0.012203569095993577,1.0805931,0.004793733,25.009347438812256,0.039507337554084435
100,0.7107598536638084,0.004165602447890515,0.6506372154733736,0.004997181642248354,0.98385460556342,0.0002009801203767869,-0.02779285858074824,0.008098310900158143,0.898758,0.030157864,24.834023157755535,0.058191456203792985
120,0.7067028782057031,0.003882508470320573,0.678092943256785,0.0059543330269899025,0.9872391829296108,0.0004554573650482625,-0.025411138931910198,0.003097497120630677,0.6246149,0.0143198855,24.954642454783123,0.0671700641262783
140,0.6968626155179827,0.0022978064813212996,0.6920092851279293,0.006697821386613669,0.987729679244108,0.000619416854794091,-0.010203958954662085,0.0018650679180209043,0.4453999,0.0017073797,24.912372668584187,0.052954272851184446
