pca,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
10,0.9011564468174638,0.9418995191876548,0.9819622201788748,0.08725620806217194,3.1239748,25.067249298095703
20,0.8792436276843056,0.9094309720411415,0.9742320604590788,0.18906696140766144,2.448474,24.76564884185791
40,0.811165718148769,0.8556695294661396,0.9677211406922837,0.06405121833086014,1.8485022,24.942332983016968
60,0.7586785041700296,0.7953964252947304,0.9685645770844128,0.08133243769407272,1.2789963,24.893145084381104
80,0.7194570200671896,0.6727251091657871,0.9756974379239148,-0.0621916763484478,1.0873575,25.02882194519043
100,0.7105223539799811,0.6572467181280741,0.984138809448873,-0.03673746436834335,0.88251364,24.802886247634888
120,0.7120933065678828,0.6779859688334264,0.9869774284427045,-0.025933455675840378,0.64151984,25.049137353897095
140,0.6969856997992592,0.7000277036209239,0.9870432040374237,-0.011991110630333424,0.44298875,24.979451894760132
