method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
t-SNE,perplexity,100,0.9740078443173839,0.9816028167318688,0.44843351061944914,0.14903861284255981,0.4002479556186979,35.520317792892456
PaCMAP,n_neighbors,15,0.9558763246062795,0.977724445781924,0.38430768442990654,0.17922624945640564,0.6340403274414911,1.209812879562378
Density t-SNE,lambda_density,0.0005,0.9595265362624135,0.9481284180960979,0.7932793962036916,-0.031185973435640335,0.5292184969017544,90.08350205421448
UMAP,n_neighbors,50,0.9514666265422811,0.9751744407663757,0.2723390387800934,0.18453475832939148,0.8467691657233829,45.70429301261902
DensMAP,dens_lambda,0.5,0.9565287752031297,0.9785760577791153,0.6493534620448379,0.14987754821777344,0.815595843403399,20.596511840820312
