method,param,auroc,auprc
t-SNE,5,0.5176065663123808,0.5301428936893726
t-SNE,10,0.5358199073406114,0.5263392345295101
t-SNE,30,0.5710089934112442,0.5364787568706992
t-SNE,50,0.5708869972266307,0.5307748874399314
UMAP,5,0.5387920614309303,0.5246269020221426
UMAP,15,0.5501636768784366,0.5247366922352773
UMAP,50,0.4812464130556757,0.4779432857488083
PaCMAP,5,0.5166807739784223,0.5096065588292464
PaCMAP,15,0.5425999134324051,0.4955710935019971
PaCMAP,50,0.5268449317879413,0.4802211339934603
DensMAP,0.5,0.6024256560701519,0.5702374715933304
DensMAP,1.0,0.6009974510652624,0.5694721570641594
DensMAP,2.0,0.589507847192164,0.5656243838362813
Density t-SNE,0.001,0.559386492248994,0.540770743644219
Density t-SNE,0.004,0.5641953221436702,0.5435195021107473
Density t-SNE,0.01,0.5451368248929929,0.5231031971251379
