method,param,auroc,auprc
t-SNE,5,0.5043332398320564,0.5112707242447028
t-SNE,10,0.5144497898142526,0.5140069115057685
t-SNE,30,0.5538737066724049,0.5374132559290424
t-SNE,50,0.564158847142063,0.5323681193219099
UMAP,5,0.47843418662854886,0.4970652083585191
UMAP,15,0.5143578895865195,0.5100777671240169
UMAP,50,0.5369421303945754,0.5054887253518915
PaCMAP,5,0.5802221744042175,0.5699821979599647
PaCMAP,15,0.6150773370836311,0.5854609280312045
PaCMAP,50,0.5629905614943809,0.5125947702473052
DensMAP,0.5,0.5982610363527842,0.5633627183851435
DensMAP,1.0,0.5822137195832662,0.5532741028784132
DensMAP,2.0,0.5679879165609973,0.5389549267845298
Density t-SNE,0.001,0.5473258954988741,0.5279352861249231
Density t-SNE,0.004,0.5700558317899218,0.541412256490855
Density t-SNE,0.01,0.5656732796405453,0.5356182870839801
