k,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
10,0.7492070114442996,0.8068873574636286,0.9749233912727504,-0.017655370756983757,2.1759923,24.681602001190186
50,0.8467484684913529,0.8840249303218249,0.974670628095422,0.15532515943050385,1.872072,26.664212942123413
100,0.8642571426496117,0.8958762967321117,0.9822708509969105,0.17031264305114746,0.97136235,29.29573082923889
150,0.8943272261012949,0.9153854421269791,0.9885351490242015,0.31854259967803955,0.45503548,29.610546112060547
200,0.8985287575343629,0.9212797079638505,0.9883929146927503,0.350929319858551,0.42979404,32.38803505897522
250,0.900808442755511,0.9210810315241031,0.9898614575566659,0.3440179228782654,0.47745234,34.10033416748047
300,0.9028519852148214,0.9199460741618851,0.9891041645261707,0.3532405197620392,0.5117664,36.564048767089844
350,0.9067856012633203,0.9148349880347121,0.9897272178419172,0.36383023858070374,0.5494411,37.75810980796814
400,0.9073930777169167,0.9205100694168805,0.9893663449274784,0.3976609408855438,0.5546316,39.98624897003174
