k,trustworthiness_mean,trustworthiness_std,continuity_mean,continuity_std,density_corr_mean,density_corr_std,silhouette_mean,silhouette_std,stress_mean,stress_std,time_sec_mean,time_sec_std
10,0.7195770323001961,0.022984214557778347,0.7763999043434072,0.021609862735976898,0.9742303461039503,0.0012805840585245094,-0.02825262521704038,0.010628851579701847,2.1833336,0.040941868,24.23690398534139,0.353537627145878
50,0.8327754215382589,0.019807529333814834,0.8762658190037372,0.010836945410461771,0.9736492051366975,0.0024982759522616522,0.16852779686450958,0.027890438136021163,1.7855029,0.06328029,26.24480374654134,0.4708240554738778
100,0.8733387132311105,0.00708997293197801,0.9017650117791192,0.006468864579650991,0.982202673700661,0.0005051312106692863,0.24823902050654092,0.05647827849574724,1.013031,0.048274394,28.346417665481567,0.6726763772998697
150,0.8946416190825431,0.0008879131887081674,0.9153940920017929,0.003099678146318975,0.9872060719349279,0.0011370068857570418,0.32834293444951373,0.009144528462397416,0.4594349,0.034376707,29.613680362701416,0.045897842114744125
200,0.8976987078069248,0.000951686885389381,0.9197740990278325,0.0020934375835263766,0.9889278072257964,0.00044513112416672175,0.3255399266878764,0.02370260765459841,0.43160403,0.0032871598,31.81898832321167,0.4259404475611677
250,0.8981296348876301,0.005464943932482012,0.9187792373774792,0.002957032519771409,0.9832486323057301,0.008960398291356452,0.3325913151105245,0.014130395261559339,0.46685585,0.03544722,33.649102449417114,0.32092517466527865
300,0.9005973881713083,0.0016940014616844757,0.9203975122043583,0.0003228238423587675,0.983230799863128,0.004253124613301271,0.3438541889190674,0.013135332237732293,0.50512487,0.004710233,35.76323731740316,0.576590387096206
350,0.903381981383545,0.0033843289951152287,0.9207001344346021,0.004184056483522051,0.9881977317644851,0.0012461704486697869,0.3529501756032308,0.008589937297621105,0.53227496,0.015041385,37.45553501447042,0.3151233507405165
400,0.9052492135105653,0.0015611744969980447,0.9222101465957503,0.0017482422059581534,0.988151884582838,0.0015318282594850886,0.36728618542353314,0.021538985106453967,0.5551936,0.0011231848,39.46159426371256,0.40184550811942304
