k,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
10,0.6931879583066024,0.7593216062029622,0.9724348205547766,-0.04278339073061943,2.1372657,24.212459087371826
50,0.8468144253226364,0.8838320583109305,0.9760675883050065,0.20731735229492188,1.7618637,26.48296618461609
100,0.8815599035395466,0.9107725029599123,0.9815527521188641,0.30237796902656555,0.9870315,27.818435192108154
150,0.8958516462984167,0.9191947244611083,0.9857577333166343,0.3405505418777466,0.4197047,29.559099912643433
200,0.8963661727366041,0.9212289126592732,0.9889077990435431,0.3317992389202118,0.43621728,31.363358974456787
250,0.9030684798801814,0.9206519754945309,0.9705808088378702,0.3410757780075073,0.5039904,33.38127398490906
300,0.8987686229312961,0.9205642768351815,0.9814171910446032,0.3252783715724945,0.5013598,35.229750871658325
350,0.9045942841570342,0.9243105986780394,0.9866747569439814,0.3521897494792938,0.53457123,37.02089190483093
400,0.9046342096442715,0.9246148007021072,0.9859910903538058,0.3501182794570923,0.55676126,39.01012992858887
