method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
DR-SNE,lambda_density,0.005,0.9049550161075585,0.9368178500720874,0.9644871839271124,0.08556713908910751,0.8015957,40.77739715576172
DenSNE,dens_lambda,1.0,0.9393439843270351,0.9461080827521505,0.5668822707305292,0.2992083569299043,0.8740420708966626,228.03050589561462
t-SNE,perplexity,150,0.9286728199609555,0.9641917178866332,0.2113381619593401,0.30150020122528076,0.91669196,27.71845316886902
PaCMAP,n_neighbors,20,0.9188639583893821,0.9529004366631485,0.1728299228452798,0.2905203700065613,0.9325059,4.411520957946777
UMAP,n_neighbors,3,0.9174993757027655,0.941243903616785,0.05610738712411124,0.29198285937309265,0.9557805,1317.6163079738617
DensMAP,dens_lambda,2.5,0.9076461441885171,0.9570884570545588,0.8553040548545614,0.18817614018917084,0.9452905,24.818657159805298
