method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
DR-SNE,lambda_density,0.005,0.9688651260380173,0.9723991602931945,0.8886738049717708,0.2744089961051941,1.8931135706850293,29.028249263763428
DenSNE,dens_lambda,1.0,0.9716344529684379,0.9707094697855331,0.7661577521960397,0.400683234341375,2.2768025209869704,5.061734914779663
t-SNE,perplexity,150,0.9793789224595644,0.978518505676736,0.6179768274514105,0.35176336765289307,0.9803896143485141,13.183474063873291
PaCMAP,n_neighbors,75,0.9541790969481522,0.9726334048186775,0.5537962368368091,0.4534369707107544,0.7547032189818638,2.0377588272094727
UMAP,n_neighbors,150,0.9664572085168298,0.9808421151602813,0.5553703706600872,0.5286336541175842,0.6294376335689613,4.978291988372803
DensMAP,dens_lambda,2.5,0.9501827585221323,0.9718235916004955,0.8419004435640176,0.5122296810150146,0.5722595586807826,4.8179709911346436
