method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
DR-SNE,lambda_density,0.005,0.9908731547798174,0.9798150265824055,0.9962808900583343,nan,4.3301441346788465,213.5609610080719
DenSNE,dens_lambda,1.0,0.9985477901494634,0.9899215969505467,0.4506547494950855,nan,3.983448039978014,10.744883060455322
t-SNE,perplexity,100,0.999988339853546,0.9999870438358912,0.3818598279923706,nan,3.951253572523055,21.159902095794678
PaCMAP,n_neighbors,20,0.9999764349483399,0.9999797371852743,0.5037093250942222,nan,1.6649881406362501,1.6565401554107666
UMAP,n_neighbors,100,0.9998379095195105,0.9999873688434145,0.148788393277003,nan,1.361848887932953,11.451637029647827
DensMAP,dens_lambda,0.5,0.9994690821546796,0.9999223272143646,0.9217039914130468,nan,1.2711458395126753,12.519996166229248
