method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
DR-SNE,lambda_density,0.001,0.9566532049352994,0.9679832320192597,0.8897619663358596,0.04912015423178673,0.6975776571744573,138.6289668083191
DenSNE,dens_lambda,1.0,0.9595958230514595,0.970131660146454,0.7391238128416636,0.0934096958059944,0.3916648641350071,29.022835969924927
t-SNE,perplexity,150,0.9726553475774902,0.9822421907914535,0.4779979179624839,0.15366069972515106,0.41926341854409865,42.74554181098938
PaCMAP,n_neighbors,20,0.9548740455411776,0.9787149001905908,0.37459999784714126,0.17280055582523346,0.6530375434498008,1.4955720901489258
UMAP,n_neighbors,150,0.951295941418397,0.9827442872906008,0.36016091183957133,0.16261403262615204,0.8757560706997201,17.623685121536255
DensMAP,dens_lambda,0.5,0.9545996790049153,0.9816074069615809,0.7497328183614463,0.16043224930763245,0.8297063782304085,8.913388013839722
