method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
DR-SNE,lambda_density,0.0005,0.956885930384191,0.9429594502959173,0.7805643497933904,-0.0170185174793005,0.6448074316253188,143.6577808856964
DenSNE,dens_lambda,1.0,0.9624093690440365,0.9559200280870699,0.6034835566861927,0.003203740291063354,0.4403086970974439,29.500468969345093
t-SNE,perplexity,150,0.9726278944728659,0.9820826923462734,0.48026097465826334,0.1383584886789322,0.4263621173208616,39.01674509048462
PaCMAP,n_neighbors,5,0.9563671381281974,0.9741145511084361,0.39788308360066843,0.1807541847229004,0.59874625643183,0.6169130802154541
UMAP,n_neighbors,150,0.9519481713311265,0.9828632239943826,0.35499307960381604,0.1602880209684372,0.8749534241453395,17.65075993537903
DensMAP,dens_lambda,0.5,0.9546874470859665,0.9819735540174541,0.7521316358144529,0.15771710872650146,0.8269930285230094,8.918575763702393
