method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
Density t-SNE,lambda_density,0.004,0.9702734357368309,0.9690952473100848,0.8693769351485676,0.269802063703537,1.818303736131919,11.498048067092896
DenSNE,dens_lambda,0.016,0.984753833180976,0.9701597963737548,0.547602568836638,0.3731568474175873,2.3402704283056655,4.306752920150757
t-SNE,perplexity,100,0.9808868774492555,0.9795970175758363,0.6187300003116626,0.4175417423248291,1.6484385611299568,10.5569748878479
PaCMAP,n_neighbors,50,0.9576839872985052,0.9748598054792728,0.5143639323254866,0.43939274549484253,0.7987013868200181,1.2137911319732666
UMAP,n_neighbors,5,0.9762809847266259,0.9757830081663845,0.5491919172407707,0.5421645045280457,0.6166006377042832,2.352065086364746
DensMAP,dens_lambda,2.0,0.9569097215226487,0.9748063906054795,0.8232335848717496,0.521876335144043,0.6012001918406111,4.800724029541016
