method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
Density t-SNE,lambda_density,0.004,0.8958313210953958,0.8416921938007824,0.9854796879722859,0.23962318897247314,4.410601001425046,84.23055171966553
DenSNE,dens_lambda,0.016,0.9556771190691142,0.9517514374561139,0.18593040300913038,0.7403447079935818,1.6298222123868704,13.246781826019287
t-SNE,perplexity,100,0.9392684441769485,0.9578648450195606,0.09548610488417855,0.886059582233429,1.9789091742362794,35.9390172958374
PaCMAP,n_neighbors,50,0.9214052522820744,0.9534472986257398,0.11018375454088661,0.9330660104751587,1.147399659412424,3.399257183074951
UMAP,n_neighbors,15,0.9209700110342061,0.9518746112950145,0.043410043200699105,0.9231977462768555,0.5040311285117308,5.311293125152588
DensMAP,dens_lambda,8.0,0.8922628588624737,0.9249353596148059,0.9850014767743233,0.8738996386528015,0.7503089849700272,8.779011726379395
