method,trustworthiness_mean,continuity_mean,density_corr_mean,silhouette_mean,stress_mean,time_sec_mean,trustworthiness_std,continuity_std,density_corr_std,silhouette_std,stress_std,time_sec_std,score
Density t-SNE,0.911853355683864,0.9462721889953528,0.9463929922398608,0.10278270641962683,0.7969446333333333,25.138185898462932,0.001450399048751226,0.005704886101214343,0.025934094601403147,0.023519586968897457,0.004001427638147824,1.0559782563071494,0.8666985289065275
DensMAP,0.9075101830582057,0.9576447093396245,0.8281616731775374,0.2028846244017283,0.94598167,25.354480266571045,0.0010846759199971596,0.0004106341993619664,0.021415294592528722,0.006246894024000154,0.008823281599320098,0.5524690566976777,0.7335635061775374
t-SNE,0.9301622345012176,0.9628142629498563,0.18767269919260554,0.30467167496681213,0.89319315,24.385363419850666,0.0008378850463862824,0.0015970065199328737,0.0003822555830352079,0.01900926945379798,0.00041009989941477153,0.8252783588044379,0.09835338419260553
DenSNE,0.9362004419518545,0.9552937600169239,0.17003107291793065,0.2975681983218835,0.8812250449379623,230.00438197453818,0.00012021525053741423,0.006075898670971987,0.06840526587469448,0.023205599640538258,0.00845165390548525,0.9878184979620747,0.08190856842413442
PaCMAP,0.9208714177640731,0.9529883119600634,0.160826030171557,0.30381102363268525,0.9321186866666666,1.3826476732889812,0.0009103717630611875,0.0007303414958462032,0.005690107248157034,0.01729659338682786,0.0010704576939483833,0.20433252175938854,0.06761416150489033
UMAP,0.9186141567158517,0.9559868794106082,0.048742885847201496,0.33368592460950214,0.9599186999999999,22.897586425145466,0.0010853106370807026,0.003587983880675748,0.0035599083809817714,0.00825516423256468,0.004113527764583562,1.6366230207671821,-0.0472489841527985
