method,trustworthiness_mean,continuity_mean,density_corr_mean,silhouette_mean,stress_mean,time_sec_mean,trustworthiness_std,continuity_std,density_corr_std,silhouette_std,stress_std,time_sec_std,score
Density t-SNE,0.9574166970943258,0.953162891630722,0.8201307807644266,-0.012670875837405532,0.5449646953451245,41.939929246902466,0.005487293018191342,0.010196123875583241,0.04252923051356822,0.05947457760368601,0.026639158565921996,0.0960381868149424,0.7656343112299141
DensMAP,0.9518880877386565,0.9815406439963889,0.6903362683938998,0.16213813920815784,0.8293617869756255,19.922865231831867,0.0005104885855924693,0.00012575307783046908,0.007073581811193794,0.004837264327404607,0.0025624309784937358,0.013696593866736734,0.6074000896963373
t-SNE,0.9770489343631925,0.9822872170394891,0.4102531021377798,0.1781340390443801,0.4035524101882168,10.914353768030802,0.00023468009938010126,4.6711692392325976e-05,0.0018812029939514682,0.000529376535425731,0.0019098743581397054,0.6501490635825232,0.36989786111895817
PaCMAP,0.9596725127896479,0.9752643514896179,0.3473693342985247,0.1833346585432688,0.6118724678035795,0.7468163172403971,0.0003860888939033823,0.0013003317641378507,0.010298044412417297,0.014243488122929901,0.01274662394623615,0.15005054470610948,0.2861820875181667
UMAP,0.9656105326512189,0.978488698966797,0.2687547005905135,0.2067902435859044,0.7932056663522417,4.310638984044393,0.000463643957422964,0.000347785819531979,0.0007887870165491697,0.00347168500082227,0.0033117960068561416,0.13615199835445163,0.1894341339552893
