method,trustworthiness_mean,continuity_mean,density_corr_mean,silhouette_mean,stress_mean,time_sec_mean,trustworthiness_std,continuity_std,density_corr_std,silhouette_std,stress_std,time_sec_std,score
Density t-SNE,0.8927630548032233,0.8345789641221119,0.9853741172439995,0.23220629990100858,4.1255943731022375,85.0500906308492,0.009639026678679495,0.03199699969424865,0.0005081225898524708,0.08920986774244002,0.5396348922556788,0.7751640310294298,0.5728146799337757
DensMAP,0.8912962771257565,0.9242454662787977,0.9849864922448606,0.8676475683848063,0.7302446005748809,8.862059036890665,0.0010685647146881994,0.0011805770105105333,0.00010014822448676967,0.00556359305756409,0.0670729803487198,0.18333536511537854,0.9119620321873725
DenSNE,0.9543854749724145,0.9517343137058214,0.17249902610351295,0.7432957656785512,1.537674743547649,13.345169226328531,0.001188977882664168,4.972782739515867e-05,0.012114348837023852,0.0025998694695959297,0.08050386995311275,0.37514841527358755,0.01873155174874805
PaCMAP,0.9207803845253619,0.9535667663088909,0.10236591179284749,0.9316134850184122,1.1398369993279802,2.8905113538106284,0.0007094261191153759,0.00014950910863668893,0.007139703159303665,0.0027071835371242276,0.01303241995117467,0.710678574876476,-0.011617788139950541
t-SNE,0.941402058380981,0.957260423312268,0.098437201493435,0.8819830814997355,2.1017819299953304,33.33834449450175,0.0033735431876194552,0.0007182971669026626,0.00396980266466578,0.006554360279287314,0.20740782172412478,3.1119213579111578,-0.11174099150609805
UMAP,0.9206281312067408,0.9513861303373793,0.0474701773490483,0.9342284798622131,0.6790951434413711,7.020692745844523,0.0002974693088548811,0.000500217961382092,0.005018091462803747,0.015221906381372134,0.26653171156062283,3.158136351346301,-0.020439336995088812
