method,trustworthiness_mean,continuity_mean,density_corr_mean,silhouette_mean,stress_mean,time_sec_mean,trustworthiness_std,continuity_std,density_corr_std,silhouette_std,stress_std,time_sec_std,score
Density t-SNE,0.9631081688157824,0.968742292652805,0.9065513482671147,0.23410442471504203,1.7722205276970044,11.492634296417236,0.0064842121023928325,0.0032980543550782428,0.032200142911483445,0.03432714226816998,0.04000280676228453,0.013259019170522687,0.7293292954974142
DensMAP,0.9589479310664913,0.9749169583530061,0.8252430993266225,0.5117118755976359,0.5578463338339906,4.515127023061116,0.0024413261225864585,0.00016504440211962413,0.00208056071065923,0.008802935125065175,0.04118443479908957,0.24737397620874851,0.7694584659432235
t-SNE,0.981761340365563,0.9776130142372504,0.6060981359570259,0.4063480893770854,1.5799508709231873,10.05995766321818,0.0007881724893986756,0.001960890255784899,0.022009297260724876,0.011063786153626881,0.0701931585452813,0.48807376657599777,0.44810304886470714
DenSNE,0.9858327823948324,0.9745688662193249,0.5674866874366095,0.41364669222165995,2.305538068385317,4.427438338597615,0.0009588387399417019,0.003930985707905607,0.018908936124783355,0.04886796730000064,0.1120911977413248,0.2582434157217788,0.3369328805980778
UMAP,0.9774598083009941,0.9759817677230785,0.5394623184374353,0.5630984306335449,0.6106443001500744,2.369288126627604,0.0010239418672847648,0.0008584683042226788,0.010815853913879965,0.022356828120154715,0.027234560231801437,0.01554579244078541,0.47839788842242786
PaCMAP,0.9648493791666269,0.9775866295802929,0.5180624925022382,0.5144163370132446,0.9295644182579337,0.6710110505421957,0.0062120846139742504,0.002363327936566664,0.009161768313378376,0.06514063182423335,0.11362656608729302,0.4700668052108444,0.42510605067644486
