lambda,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
0.0,0.9080425211950636,0.8754528534867518,0.5115989427980264,0.2633243501186371,2.9910643,23.290744066238403
0.001,0.9221831915730221,0.909071638969944,0.7583879747586841,0.31982699036598206,1.9386379,21.86552405357361
0.005,0.9062655160282279,0.8695287211219415,0.9213298453333957,0.1676250547170639,2.268448,20.516385078430176
0.01,0.8903689217248539,0.8366258562529749,0.9599523987100906,0.09240328520536423,2.7493205,20.19602108001709
0.05,0.8319416816704952,0.8129346660872084,0.9925593227198417,0.06235896795988083,2.2563717,20.263137817382812
0.1,0.8009137504052759,0.7989043687009789,0.9974251995389267,0.04025983065366745,2.0393476,20.11186933517456
