lambda,trustworthiness_mean,trustworthiness_std,continuity_mean,continuity_std,density_corr_mean,density_corr_std,silhouette_mean,silhouette_std,stress_mean,stress_std,time_sec_mean,time_sec_std
0.0,0.910130814989572,0.0024306752318593774,0.8895220389570673,0.010155856290526687,0.46981533370330636,0.03677751653529528,0.3516700466473897,0.06387263984687568,3.0021687,0.019556075,21.262216726938885,1.4349376858953053
0.001,0.9248217453189205,0.0018786043311151187,0.9216688764259385,0.008927143604570443,0.766711481516206,0.006089509884045897,0.3975231150786082,0.05570508581134473,2.1324487,0.13704585,20.79453404744466,0.75734365232907
0.005,0.9127420928098894,0.004588152126140788,0.9018851155122342,0.022941566130968163,0.9267815764920209,0.004067839825569923,0.2986760586500168,0.09391367423595516,2.3361552,0.048409317,20.27358667055766,0.17192818286686568
0.01,0.8997076817302805,0.006698654860910043,0.8818551814371024,0.03211751512189879,0.9606884469111813,0.0010110410552338026,0.2265541429320971,0.09552959291369663,2.6044152,0.11804737,20.271470069885254,0.09388066840728822
0.05,0.834959279264364,0.005338993268177876,0.8201367199446296,0.005478709162266911,0.9928177217372754,0.00029570037400911863,0.05531346301237742,0.005207949504615097,2.4601042,0.14416723,20.523281176884968,0.3983477187189101
0.1,0.8046742088211015,0.009463356601852286,0.8063242758496996,0.007805091675511462,0.997393986037817,0.00010638785486285289,0.03300869216521581,0.008569983261480169,2.2285168,0.13676588,21.27468268076579,1.4693647979374405
