lambda,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
0.0,0.9135396066582507,0.8990577595662341,0.4221004776513058,0.41214779019355774,3.0296566,20.19919991493225
0.001,0.9264098287149135,0.9272442761256321,0.7727870327905021,0.4250986874103546,2.2287564,20.24958300590515
0.005,0.9156380731634969,0.9159966750136241,0.9310980242918727,0.3455228805541992,2.3787835,20.16339683532715
0.01,0.9057549719583617,0.9080800066223795,0.9621180645343641,0.3074684739112854,2.460167,20.214585065841675
0.05,0.8424620627332492,0.8262120541103593,0.9932316676728806,0.053649406880140305,2.5551815,20.220611095428467
0.1,0.8176776970675276,0.8171115112132061,0.9975058424250898,0.037793394178152084,2.288193,20.364630937576294
