method,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
t-SNE,0.9862281149344395,0.9825655101409387,0.5030900594725491,nan,3.6562712282925123,2.938232183456421
Density t-SNE,0.9755581346713915,0.9737625202824242,0.8471184235274959,nan,3.864476379145714,4.403310298919678
UMAP,0.9682217423213386,0.9753434755996327,0.3171018230553566,nan,0.5679864209838936,2.258031129837036
DensMAP,0.9504366197381078,0.9687457703463423,0.7280433793957789,nan,0.4983239510668211,4.003503799438477
