method,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
t-SNE,0.8951417810061878,0.9275292315970283,-0.0018065178610083194,nan,0.86715037,5.513574123382568
Density t-SNE,0.8804572339148611,0.9078707118368136,0.8553009186360789,nan,1.2351131,7.9598002433776855
UMAP,0.8533158806040162,0.9186037678580051,-0.095847479375445,nan,0.5961269,7.237059116363525
DensMAP,0.842282127163483,0.9168573222132544,0.6510378215325853,nan,0.9666411,7.674838066101074
