method,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
t-SNE,0.9999999037014746,0.999999935800983,0.33182255054982557,nan,6.606059888666124,5.662739038467407
Density t-SNE,0.9999726752934096,0.9998803169826462,0.9950470878237291,nan,5.020576046252937,23.30511474609375
UMAP,0.9997168341859766,0.999989824455813,-0.10793419385941416,nan,1.2343363333120467,9.895977973937988
DensMAP,0.9992430133413582,0.9997685344568161,0.9746147876411031,nan,1.398634607790238,5.046766757965088
