k,trustworthiness,continuity,density_corr,time_sec
5,0.7248872507957782,0.9072436030602558,0.9633400017791708,29.231241941452026
10,0.7867561177193276,0.9236276316524265,0.9478397067905956,31.101245880126953
15,0.8355659462779919,0.9245924052046686,0.9413999194382927,30.010974884033203
20,0.8570511978555873,0.9267228904897526,0.937533053266321,32.527307987213135
25,0.8692137823197632,0.9279046518121405,0.9331948148534358,29.08810067176819
30,0.8767864298877535,0.9282977048081755,0.9332123574934009,30.25887680053711
35,0.8843550678505613,0.927201295582733,0.9303398921314643,28.579023838043213
40,0.8879848774222371,0.9275914000111688,0.9271776858865622,31.356450080871582
45,0.8891655888758586,0.9268438822806724,0.925529794209421,32.32890295982361
50,0.8929708717261406,0.9276423633216061,0.9235362781026559,31.97938299179077
