method,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
t-SNE,0.9346469099011472,0.9590468740299248,0.08369869141941767,nan,0.8265566,7.251762866973877
Density t-SNE,0.9135947103743713,0.9511818739954333,0.9123559606558689,nan,0.38700452,7.861876010894775
UMAP,0.910640080572284,0.9604235425591358,0.001541810892712589,nan,0.9592507,28.0790011882782
DensMAP,0.8964023095548519,0.9457439070659409,0.8819420791285816,nan,0.95523155,28.60555386543274
