k,trustworthiness,continuity,density_corr,time_sec
5,0.8904929022170102,0.9644913385826772,0.9787821142892889,29.121336221694946
10,0.9109288658066678,0.9695095214162059,0.962298691823271,29.666236877441406
15,0.9293154967331211,0.9717463114982967,0.9538184313363636,32.274068117141724
20,0.9374297872340426,0.9730650248506171,0.9479071953951843,30.550572872161865
25,0.9463569442117608,0.9736854749539287,0.9442954832841816,30.72275996208191
30,0.9503219299715195,0.9743014016864913,0.941744682449896,29.859005212783813
35,0.9561832579438209,0.9738976042888255,0.9412388935948524,30.892380952835083
40,0.955004947785782,0.9738190428324119,0.9398400289183217,31.354983806610107
45,0.9555893226112694,0.9743712514659072,0.9402741743794559,31.653070211410522
50,0.9572635505668174,0.9744547048640196,0.9390253479762954,30.303508043289185
