method,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
t-SNE,0.9298466686728859,0.8984866445982546,0.32838400890952446,nan,1.2628611,8.60208010673523
Density t-SNE,0.8579742080449393,0.8993681211756445,0.9353707614487629,nan,0.8761843,23.326809883117676
UMAP,0.8287440064199016,0.9091821045240245,0.07206671697528451,nan,0.89172137,4.785085201263428
DensMAP,0.76552192195807,0.9190047346775002,0.9142747121784639,nan,0.8742123,9.034746885299683
