dataset,method,param1_name,param1_value,param2_name,param2_value,AUROC_kNN_mean,AUROC_kNN_std,AUROC_LOF_mean,AUROC_LOF_std,AUROC_IF_mean,AUROC_IF_std,AUROC_centroid_mean,AUROC_centroid_std,AUROC_linear_mean,AUROC_linear_std,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,n_seeds
cifar,DR-SNE,lambda,0.0,k_density,40.0,0.59524654689462,0.017584256391950156,0.5220676466873221,0.013055468517747143,0.6758804582841094,0.05045303805790743,0.6745737950352555,0.06571008180283372,0.720685754407864,0.08444722630072639,0.13013514344279903,0.006173527283894294,0.10431961868201209,0.007079673895149735,0.1516580043524896,0.021288294338271847,0.15926418284086158,0.02543318635238235,0.2605396038391997,0.07915246532786684,5
cifar,DR-SNE,lambda,0.0,k_density,80.0,0.596582094376212,0.01947626741160177,0.5302841428348527,0.018155153008821142,0.6823188559243326,0.04533073257905834,0.675027769728581,0.06688438133615239,0.720367842097051,0.08414451820038496,0.1311426042980838,0.005832236486868313,0.10882507784900493,0.009083798931825744,0.152625803198203,0.021832387391284833,0.15845953550582226,0.02669635752236935,0.26050454865337563,0.07952003456877586,5
cifar,DR-SNE,lambda,0.0,k_density,300.0,0.5995377594008426,0.014421373240587867,0.5419128792100395,0.0197511482726987,0.6810487855619701,0.04926620480613636,0.6743200595888224,0.06728931587660573,0.720458952811894,0.0839480182607698,0.13043312301737653,0.005280590493503283,0.10972622152984723,0.007570838355498606,0.1516270271748662,0.024738392785216737,0.15697745302773575,0.02884424775701487,0.2599879615300607,0.07855665531182297,5
cifar,DR-SNE,lambda,5e-05,k_density,40.0,0.6139748605012296,0.01515638201838912,0.5288787066550759,0.011903384676645406,0.6933675857610948,0.05108126640391684,0.6913296220344902,0.07317259045802126,0.7398862462756985,0.08858119079587126,0.13597376040069784,0.010379049468002794,0.11037367806267684,0.012062279851487702,0.1648153907584407,0.02497284747142555,0.17574615180720138,0.03969889865705767,0.32214940377457724,0.12878788949350817,5
cifar,DR-SNE,lambda,5e-05,k_density,80.0,0.6014254508169316,0.013651657294283527,0.5282140906760582,0.015515554366603668,0.6901693303316021,0.04610806681387382,0.6905759850359242,0.06493553869724407,0.7338497202594565,0.08744547389981921,0.13290856627450734,0.007673275610860401,0.11116038819348177,0.006249110861010279,0.15859745212768783,0.023282341076887158,0.16614472278124026,0.0316916138910313,0.3099833511961238,0.12234429851934894,5
cifar,DR-SNE,lambda,5e-05,k_density,300.0,0.5970278960390523,0.013303299052141048,0.5347159221778897,0.01825880122776072,0.6824418228829994,0.04965676742707365,0.6740178896492284,0.06645532850833413,0.726717265155399,0.08389126357391806,0.12991489432772924,0.005957522261787225,0.10709636977117096,0.007978982120264754,0.1491027516343595,0.02151304624421979,0.15408829377328453,0.023826060705497636,0.2687966726638856,0.09017093790988649,5
cifar,DR-SNE,lambda,0.0001,k_density,40.0,0.6350553351314001,0.016469818941452927,0.5395276081254783,0.00999207767950942,0.6870357161432212,0.05778963545678331,0.6894615273164969,0.07461561839549075,0.7560606736063126,0.09611457163618226,0.141127622608773,0.006697333458205246,0.10848719833891626,0.0028010206011083606,0.16207683936983527,0.03218403120609104,0.1787190409272538,0.05192420081472704,0.3747647962548561,0.15129282756317677,5
cifar,DR-SNE,lambda,0.0001,k_density,80.0,0.5994225939712755,0.008774488899742795,0.5172440262577179,0.016133555832977497,0.6739759099926442,0.04755376573639346,0.6788120685940159,0.06332389705844531,0.7415059923173513,0.09107270410478291,0.1313718314188511,0.006188607056800652,0.10419944410348925,0.003954564319659783,0.1515748145962946,0.022628895971902263,0.16782712394084098,0.039535967515067834,0.34288467593747357,0.1490109772989263,5
cifar,DR-SNE,lambda,0.0001,k_density,300.0,0.5954915520584892,0.01446286970076361,0.5352310552868362,0.01219216472211148,0.6791147029103418,0.03567293398397164,0.6687569192133086,0.06347271211796013,0.7292589847610131,0.0867701768265527,0.13049186042740307,0.005786436916821879,0.1078477497672015,0.0070730437581150996,0.14591967757247468,0.015259438740160674,0.14915550092689842,0.02307673042780625,0.2829045350407936,0.11404202435919002,5
cifar,DR-SNE,lambda,0.0002,k_density,40.0,0.6289463663449465,0.028908808116828305,0.5349648281063087,0.01137820061409112,0.634937337003767,0.07609173938260154,0.6424161707123168,0.09355387453827493,0.7761458031488457,0.09039937411564315,0.14262659320845555,0.0261874570891682,0.10722680043491414,0.008877301576688135,0.16151530692043953,0.057157722030260025,0.1963440154790354,0.10201694470033705,0.4106448509094758,0.16690609655078456,5
cifar,DR-SNE,lambda,0.0002,k_density,80.0,0.6005911515799953,0.01892926221778697,0.5204923414989338,0.018399366447848887,0.6625176927534939,0.060451438617524916,0.6693853138072205,0.08381957178544062,0.76593759519723,0.09532019110261895,0.12858169784459927,0.009647985306800222,0.09894396596174446,0.007308737458551964,0.1552937421158192,0.03861258258252565,0.19164451281144484,0.08679706733003778,0.4169283467848867,0.16696585968307506,5
cifar,DR-SNE,lambda,0.0002,k_density,300.0,0.583477475870985,0.008805986021393293,0.5265159578420228,0.013173294873114236,0.6674329347123465,0.034716175080162816,0.6519728581087607,0.07692897519997434,0.731952741308725,0.09230601508099978,0.12363199488093608,0.006487513516045705,0.1024659624790707,0.004877484978865278,0.1400385629085303,0.014010676391730828,0.14179611636368622,0.03099041590128569,0.29406307909364227,0.14010511930172473,5
cifar,DR-SNE,lambda,0.0005,k_density,40.0,0.5724015335577202,0.0675045457994899,0.5470467032967032,0.004335488615521941,0.5670634301465944,0.10084361048155366,0.5700757026948711,0.12103761700443258,0.7912276449041155,0.10039710390138021,0.12158829503260252,0.02354186955094334,0.1112187349730072,0.0057740651625321215,0.14064492514786806,0.04405709906793687,0.15662861652850313,0.08098801686702659,0.4112912190394704,0.15956127264071132,5
cifar,DR-SNE,lambda,0.0005,k_density,80.0,0.613185698682656,0.03187607589124857,0.5142426665626463,0.015242315863935449,0.5861235873659809,0.0789257525145767,0.5896861463418258,0.09232081843580843,0.7846813261113463,0.08533276301266719,0.12752365652604675,0.013712809732910336,0.09573174121521578,0.0030307426264520737,0.1531824311629017,0.034032999454138235,0.16956820975720005,0.08093187026756912,0.4033078930901416,0.13672086502278477,5
cifar,DR-SNE,lambda,0.0005,k_density,300.0,0.5713012393286228,0.007299710461952948,0.5163178733031675,0.011634100909087683,0.6232468849608809,0.10218029673755069,0.6012185709827698,0.13130052216627935,0.7434793148028442,0.10322280370602208,0.11809825535767456,0.00411086710735882,0.09965166024194427,0.004928211981511874,0.13041599521394484,0.030540115814613408,0.12947070886701292,0.042603002988462375,0.33930590907822833,0.19207266328193906,5
cifar,DR-SNE,lambda,0.001,k_density,40.0,0.597322403762566,0.06062173050891125,0.5471651658010684,0.020040626565854654,0.5724746264553567,0.0956815630488841,0.5768449223190603,0.10687116738755773,0.7855483174702241,0.09985269089870309,0.13132200308995903,0.02815447619070452,0.11632232005351492,0.019357360577314388,0.135471746549376,0.04182912856202207,0.14869953233558092,0.06592779112481333,0.38097228526562177,0.1722166425448018,5
cifar,DR-SNE,lambda,0.001,k_density,80.0,0.6039115380900371,0.04740134397705827,0.5174326560863072,0.014331318578375619,0.5935339255065422,0.09624209111999472,0.5923737266790006,0.10714013774153834,0.7834137633833375,0.10158295791590757,0.1281863907538532,0.021456688190857453,0.09807511989651611,0.006586738110303148,0.1481459629835978,0.039734501886287486,0.16324747166748815,0.07034088910777572,0.420581021390818,0.1708009043255419,5
cifar,DR-SNE,lambda,0.001,k_density,300.0,0.5640191620414744,0.009944000034354002,0.5114329551449227,0.019451930255886905,0.5994433051735284,0.08087630378028032,0.5908689603162219,0.10889513474180745,0.7503702940061966,0.09832510381670186,0.11231178943366098,0.003794238249551978,0.09638674106455376,0.005714058455785747,0.11972693678267765,0.025928940543093457,0.12415598186343543,0.046061501712927375,0.34532030103278305,0.17855079468400464,5
cifar,DR-SNE,lambda,0.002,k_density,40.0,0.5944542273142679,0.06905342678020514,0.5398853639599076,0.031013116145910027,0.5812221373960724,0.08310878531886833,0.5763468318361827,0.09001062268558245,0.7748623587365981,0.09718692031781101,0.1254507665190081,0.026239910995768945,0.10939004429997665,0.011329427346208332,0.1309758734097922,0.03677943538687422,0.1364564946071592,0.049418203984720764,0.34014697364124064,0.16165577906987114,5
cifar,DR-SNE,lambda,0.002,k_density,80.0,0.6180074151676586,0.06281443136971178,0.5222957021004688,0.01971392196198591,0.5935899293404364,0.09339530064564998,0.5896285171893692,0.09589308626638682,0.7653118011130181,0.10821633708279985,0.14132999828274695,0.03939322810346802,0.10058317216021466,0.006982911165521007,0.14531148209990458,0.05236173088035376,0.15120952837521315,0.06441438273602756,0.38507469261967514,0.17475514763031127,5
cifar,DR-SNE,lambda,0.002,k_density,300.0,0.562802216377267,0.01180176260709083,0.5062070915899517,0.020430851078746985,0.598525511000156,0.07994744160625288,0.5850464190981433,0.10788139686450102,0.7466303895563531,0.09450347664601796,0.11000587097288812,0.004615974764552524,0.0959087389784643,0.006228201594855795,0.12173563624847938,0.024253589554689946,0.12078531542453178,0.03984263931189077,0.34014341794376757,0.15620410832158432,5
cifar,DR-SNE,lambda,0.005,k_density,40.0,0.5714695294563449,0.06799182907562167,0.5300786096932141,0.02937271627312416,0.568706302149507,0.07196694759614038,0.570630725765107,0.07803836514174521,0.7457647913276717,0.10010224340600674,0.12093722516671468,0.02592112571748435,0.1052503247369051,0.013263559305997649,0.12023401444236259,0.024846049682097388,0.12658003737791504,0.03438474643266063,0.2911152592168625,0.11315538592139285,5
cifar,DR-SNE,lambda,0.005,k_density,80.0,0.6082496526462043,0.058832590872958494,0.5108074861244232,0.03167635818152215,0.5892670927787561,0.06572443361543935,0.5900262558604343,0.07585804877542893,0.7492004361426268,0.09968574619834768,0.13638730234416627,0.02914024956750987,0.0989158953335061,0.00872506588351012,0.13396727447663712,0.029875138138174388,0.14242698575340634,0.043179133148903495,0.3337339277994803,0.12681478687820227,5
cifar,DR-SNE,lambda,0.005,k_density,300.0,0.5687035158891142,0.03533001199526064,0.4953643128338869,0.024539518503538523,0.5965596649800504,0.07425393255255273,0.5928271441202476,0.07959422665448598,0.7338589149187527,0.09854815354579613,0.11273050704111501,0.012670670092685833,0.09414607306821228,0.004788557893625217,0.12513858889271967,0.023293278076264624,0.12632939784856462,0.03331372984642008,0.32978300324437765,0.14621004705201648,5
cifar,DR-SNE,lambda,0.01,k_density,40.0,0.5627500204325762,0.05878497930843656,0.5307106728633098,0.032924145088129256,0.5555887275334537,0.05849663648813305,0.5569407603890363,0.061215954382766995,0.715435882575842,0.08722749120728442,0.11714355755003099,0.02181865835187876,0.10665177079154234,0.010937334402610747,0.11551721168679485,0.020859972413099764,0.11846237946813357,0.02550566284935481,0.25208412830492255,0.09390082482757328,5
cifar,DR-SNE,lambda,0.01,k_density,80.0,0.5845727548313755,0.06352462135421363,0.5226416163282289,0.01142804978648647,0.5678540315330376,0.06633357992923856,0.5659297936681305,0.06904590307618003,0.7234179613489958,0.09964483086861815,0.12486449537583359,0.02620065781477177,0.10154629228753251,0.0024600941593667437,0.12254461117454636,0.0261967994661739,0.12437628078229279,0.032777559445418235,0.27719876398655907,0.10704849306059983,5
cifar,DR-SNE,lambda,0.01,k_density,300.0,0.5789704210596706,0.0448189899728939,0.4958210737876052,0.02715004307261862,0.6003074173966669,0.07018177503668012,0.5853184509878221,0.07579691176158963,0.7254654912362823,0.09998013626863149,0.11670709772076507,0.017218849869498048,0.0944331516589738,0.007694587376180005,0.12745756275483672,0.024567322899360998,0.12599374801026608,0.03312986275221338,0.31531839152971364,0.1388553351971211,5
cifar,DR-SNE,lambda,0.1,k_density,40.0,0.5514190424180282,0.04611506740792804,0.5330618122580597,0.028608759344668493,0.5652968481822438,0.020281853268917713,0.5620603281100239,0.020092572448632353,0.6333554376657825,0.05955742680364883,0.1162026833384668,0.015578357387750817,0.110413872146583,0.010190444959706241,0.11829355014281244,0.010673272427358261,0.11781251819595051,0.01167297934870958,0.18436754821403525,0.04205816905881603,5
cifar,DR-SNE,lambda,0.1,k_density,80.0,0.543233009384125,0.05450974587955269,0.5331089464963704,0.02985616347751608,0.5533010684379853,0.031203333418374824,0.5563966501720051,0.03259237869011988,0.6553522204637823,0.08158289595964675,0.11285669044570616,0.01824201349596616,0.10771067431666906,0.009663159397925869,0.11525882908588707,0.01494613627836447,0.11558456081029304,0.01651650490173718,0.20642244395212864,0.0711311129358111,5
