n_features,mean_time,std_time,run_1,run_2,run_3,run_4,run_5
32738,21.791483306884764,0.7624291782084185,22.436189889907837,20.675976991653442,22.37619376182556,22.404645919799805,21.064409971237183
16369,20.67976665496826,1.1516666374465887,18.863692045211792,20.369574785232544,20.33285403251648,21.7450692653656,22.087643146514893
8184,19.755182838439943,0.5651181761376816,20.104684114456177,20.588932037353516,19.605781078338623,19.571995973587036,18.904520988464355
4092,19.501656913757323,0.8714809317898546,19.64959478378296,18.715686798095703,19.45607614517212,18.634741067886353,21.052185773849487
2046,22.879387044906615,4.536745289919684,28.82900094985962,27.11056399345398,22.64246702194214,18.145265102386475,17.66963815689087
1023,22.97442493438721,4.6324628844215825,23.8669011592865,28.31339406967163,27.435753107070923,18.30859112739563,16.947485208511353
511,21.66447229385376,1.9657716888316505,23.560477256774902,23.94846796989441,19.218834400177002,19.5675208568573,22.027060985565186
255,24.286927366256712,3.6497072978751333,23.36764907836914,26.399271965026855,29.155603170394897,24.355925798416138,18.156186819076538
127,26.27300567626953,3.6786496754997815,21.55107307434082,26.20638108253479,24.070412158966064,26.9338219165802,32.60334014892578
63,27.90652561187744,6.420192057890785,36.916905879974365,21.76566791534424,19.530565977096558,31.629311084747314,29.69017720222473
31,26.78012080192566,4.424260844247976,21.94326400756836,26.52926993370056,33.170997858047485,30.173278093338013,22.083794116973877
15,27.24725160598755,5.398938380441644,28.23917007446289,35.15323805809021,30.25105905532837,20.1996009349823,22.393189907073975
