method,param_name,param_value,trustworthiness,continuity,density_corr,silhouette,stress,time_sec
Density t-SNE,lambda_density,0.008,0.8554791360554073,0.8844879038099377,0.963955641038342,0.29165780544281006,1.1247079,24.71710777282715
DenSNE,dens_lambda,0.016,0.8931015914405744,0.9293162117229914,0.11266801632618821,0.5241404966338984,0.4585712829196775,7.415326833724976
t-SNE,perplexity,100,0.8813326297055111,0.9365852803818906,0.17566128376431836,0.5445918440818787,0.5676032,22.328001976013184
PaCMAP,n_neighbors,10,0.861482488635031,0.9224953125970075,0.2689228950598911,0.6258171200752258,0.49360406,0.5500998497009277
UMAP,n_neighbors,5,0.8577156515800584,0.9144086697985003,0.02691894457906633,0.5895264744758606,0.60668606,4.882785797119141
DensMAP,dens_lambda,1.0,0.8530646026917214,0.9260587736180956,0.8197862105666964,0.5764427185058594,0.56989557,8.259644985198975
