dataset,method,param1_name,param1_value,param2_name,param2_value,AUROC_kNN_mean,AUROC_kNN_std,AUROC_LOF_mean,AUROC_LOF_std,AUROC_IF_mean,AUROC_IF_std,AUROC_centroid_mean,AUROC_centroid_std,AUROC_linear_mean,AUROC_linear_std,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,n_seeds
shuttle,DR-SNE,lambda,0.0,k_density,40.0,0.7692599462557371,0.08448525859311311,0.5592140496064303,0.007531744176019705,0.8292447266414591,0.06460966641263864,0.797246866899717,0.06003171510619478,0.8104846020308673,0.10688315526147682,0.4519558923858192,0.0847095603597341,0.29392314056314195,0.007164757766293319,0.6224272721575318,0.0781047207003603,0.6616764134721693,0.02943667838278393,0.7053280256692915,0.14922810803393297,5
shuttle,DR-SNE,lambda,0.0,k_density,80.0,0.7506311383795866,0.07754047306807943,0.5497564148296117,0.010123250504318162,0.7853442248698009,0.06050039338059613,0.7799042828945804,0.06143414648092201,0.791421749780029,0.11308326505782905,0.4350172165062041,0.06976641647147182,0.2790977044757256,0.011753401623606032,0.5562325576119749,0.05545987185121757,0.6132455631868874,0.06546282443321758,0.6476445311770431,0.19179675417778141,5
shuttle,DR-SNE,lambda,0.0,k_density,300.0,0.5032324558274477,0.06005193390155524,0.48078573636774385,0.016863692743122848,0.6650426862619201,0.10113490975825379,0.6583723335949205,0.1089778247935839,0.7034462438467575,0.10498285830437774,0.21618668773942504,0.022219170751930226,0.21657809278130064,0.01455786138489599,0.35747957434608824,0.0699946011304915,0.35481620637163347,0.09150494014534571,0.44728518279942414,0.15279452167193786,5
shuttle,DR-SNE,lambda,5e-05,k_density,40.0,0.7750092031105086,0.08698352859766748,0.5692233478395282,0.03076519648907846,0.8189102280564077,0.10393282107518505,0.7925636489025232,0.10996761533212944,0.8370833036075244,0.09745931997566926,0.4807448741359158,0.08825151824817432,0.3054647004619454,0.04044074661710042,0.6383936692464505,0.09217379770307876,0.6761691013102104,0.09469203489162238,0.7357936223445058,0.13222198297603854,5
shuttle,DR-SNE,lambda,5e-05,k_density,80.0,0.7250287032413023,0.08566638101807811,0.5324458633564005,0.014638336703346268,0.7586620294404414,0.08033413195703475,0.7550135074076716,0.08385718033604883,0.7753164966350383,0.09698598750924475,0.4075801616680718,0.081754607020208,0.26427168727190997,0.013413602081534918,0.5355549381061586,0.06897028613604014,0.5848755499636807,0.09369511698089124,0.6205800752607129,0.1874616276063194,5
shuttle,DR-SNE,lambda,5e-05,k_density,300.0,0.5000784285748259,0.06546667748405396,0.4900927683051533,0.018079472028847098,0.6514745190364082,0.09655954554272952,0.6478919645192743,0.10200303183212445,0.7061450143872916,0.09428421283066389,0.2138512876941958,0.02911270925723407,0.21866162461130675,0.011368840166704629,0.35651539728652165,0.07355431138408318,0.34290182145036247,0.07042456173428334,0.44415422883397093,0.13302972053037515,5
shuttle,DR-SNE,lambda,0.0001,k_density,40.0,0.7677842619676107,0.10398404320058689,0.5563823214667902,0.019736991809384197,0.8206388908706096,0.10578383600830973,0.8040884640079902,0.10481599058391432,0.8387369622601127,0.08836820113194753,0.4650699395775333,0.10534733194427875,0.29812851712552935,0.029289005230564127,0.6485102112719121,0.10849174293127262,0.6972455407571607,0.09587464350936169,0.7317237968506696,0.12865874388632775,5
shuttle,DR-SNE,lambda,0.0001,k_density,80.0,0.7297835009868969,0.10267112792186613,0.53052664621531,0.014770231328668726,0.7606112577584362,0.09692933479795858,0.7552470571448955,0.09954992975028798,0.7518963163777318,0.12845322974912612,0.4138751524301204,0.07950832696329888,0.26556479528606286,0.012889566873189267,0.5404032248728281,0.05397369937013186,0.5945215717341625,0.08300145768328855,0.6233895818153824,0.1847067349529035,5
shuttle,DR-SNE,lambda,0.0001,k_density,300.0,0.5088983852940477,0.06647280400562622,0.47678497538703,0.01434046797440577,0.6714207034315474,0.09563744609341852,0.6667741789731517,0.10403283248837951,0.7239108225725904,0.08886850273274599,0.220877929875198,0.032580791527316806,0.2162634676754883,0.012437562706442267,0.3603009588794734,0.06147883454520762,0.34645132178737625,0.06578303289952656,0.4593436515804455,0.12955703787822107,5
shuttle,DR-SNE,lambda,0.0002,k_density,40.0,0.803644003709781,0.08570521641573825,0.5574669567905639,0.017826101379313015,0.842471736700673,0.09769621308350392,0.825381227557014,0.10676781739135165,0.8291804713324297,0.12438363412340309,0.4955871239182542,0.09879850935306185,0.2921805097592075,0.024810677027055198,0.6652337876395312,0.09745960290550403,0.710703417784106,0.09875188875551863,0.7457200455880493,0.14304474243580959,5
