method,trustworthiness_mean,continuity_mean,density_corr_mean,silhouette_mean,stress_mean,time_sec_mean,trustworthiness_std,continuity_std,density_corr_std,silhouette_std,stress_std,time_sec_std,score
Density t-SNE,0.9109189149415138,0.9419751200881143,0.9468900434019077,0.1294937928517659,0.8001926666666667,21.742651383082073,0.0022725181459568506,0.007813323115929062,0.026331211670592772,0.05169927386094857,0.006971620243769287,5.813086921380302,0.866870776735241
DensMAP,0.9049901928997975,0.9530930283359661,0.8190839962013388,0.19576934476693467,0.9435157566666666,34.770903984705605,0.004909105869914742,0.004902619851713708,0.03431270761315447,0.045542848432779524,0.005910070430919885,0.22371549991643713,0.7247324205346721
t-SNE,0.930510438295749,0.9626508143457295,0.188389786056088,0.29899661739667255,0.8932235166666667,19.09114662806193,0.0009703309715479273,0.0014867851431833365,0.0016059803394232967,0.009032346524356206,0.00041730251117545617,8.002029336836813,0.09906743438942132
PaCMAP,0.9202549110232726,0.9531813865147197,0.17483594481706263,0.33201414346694946,0.9326944200000001,1.3807164033253987,0.0002269907797265883,0.00039679532470185056,0.020128352054897273,0.007824393950578299,0.0001592259941090344,0.11974700358137302,0.08156650281706261
UMAP,0.9170452552260461,0.9559920623423448,0.03854596584363563,0.34117494026819867,0.95558748,23.755434036254883,0.0008818392206357036,0.0007427234169186098,0.00996917454342758,0.004129283421003264,0.0007538582752745744,1.7502338472567966,-0.057012782156364385
